ID_REGIAO;DISTRITO;Populaçãototal;Populaçãopretaeparda;Populaçãofeminina;PopulaçãoInfantil;Populaçãojovem;Densidadedomiciliar;Favelas;Ofertadeempregoformal;Remuneraçãomédiamensaldoempregoformal;ProporçãodeImpostosobreserviçoISSarrecadado;Acessoatransportedemassa;Acessoainfraestruturacicloviária;Ocorrênciasdetrânsito;Mortesnotrânsito;AcessointernetMapeamentodasantenasáreakm;AcessointernetMapeamentodasantenasPopulaçãodistrito;Violênciacontraamulhertodas;Violênciacontraamulherfeminicídio;ViolênciaLGBTQIAP+;Violênciaracial;Homicídiosdejovens;Agressõesporintervençãopolicial;Mortesporintervençãopolicial;Idademédiaaomorrer;MortalidadeporCovid19;Gravideznaadolescência;Mortalidadematerna;Mortalidadeinfantil;Mortalidadepordoençasdoaparelhocirculatório;Mortalidadepordoençasdoaparelhorespiratório;TempomédioparaconsultasnaAtençãoBásica;TempomédioparaconsultasnaAtençãoEspecializada;Tempomédiopararealizaçãodeexamesespecializados;TempomédioemdiasparaConsultascomPsiquiatras;ICSAP–InternaçõesporCondiçõesSensíveisàAtençãoPrimária;CoberturaestimadaAtençãoBásica;CoberturaestimadaESF;Tempodeatendimentoparavagaemcreche;MatrículasnoEnsinoBásicoemescolaspúblicas;DistorçãoIdadeSérienoEnsinoFundamentaldaredemunicipal;AbandonoescolarnoEnsinoFundamentaldaredemunicipal;ÍndicedoNívelSocioeconômicodasEscolasINSE;Centrosculturais,casaseespaçosdecultura;Equipamentospúblicosdecultura;Cinemas;Museus;Teatros;Espaçosculturaisindependentes;Ocupaçõesculturais;EquipamentosculturaiscomWiFi;Equipamentospúblicosdeesporte
14;Casa Verde;86.004;29.1;53.5;8.9;36.8;3;0.1;5;3.613;0.58;0;48.9;12.1;7;6.8;5.7;243;0;4.65;2.79;5.8;0.4;2.3;72.3;18.5;5.3;35.6;8.3;115.8;25.7;53;32;57;24;30.91;69.5;38.6;80;70.7;10;0;5.14;0;1.16;0;0.12;0;3.5;1.16;0;0.1
15;Cidade Ademar;285.677;50;52.4;10.4;43.4;3.1;16.4;1.2;3.082;0.16;0;1.1;5.6;5.6;4.9;2.1;195;0.23;1.05;0.91;13.5;0.2;2.5;65.4;17.6;10.5;48.8;10.6;156.6;21.4;37;44;48;31;46.39;91.1;46.9;123;87.1;11.5;0.02;4.93;0;0;0;0;0;0.4;0;0;0.1
16;Cidade Dutra;203.131;45.5;52.2;9.6;42.1;3.2;8.8;2.3;2.432;0.13;27.7;62;9.3;9.8;2.2;3;226.8;0.32;0.49;1.72;10.5;0.2;1.2;66.5;18.1;8.7;89;10.4;97.6;23.9;32;22;47;35;46.84;52.4;24.4;84;74.3;10.1;0.05;5.2;0;1.97;0;0;0.1;0;0;0.1;0.8
17;Cidade Líder;135.247;38.8;51.7;9.4;42;3.1;6.7;0.9;1.989;0.05;0;10.4;6;3.7;4;3;287.2;0;1.48;2.66;3.2;1;2;64.7;19.7;8.8;34.2;9.3;124.2;27.6;38;50;49;219;28.52;74.2;45.6;51;90.3;9.8;0.04;5.18;0;2.22;0.07;0;0.07;0;0;0.15;0.5
18;Cidade Tiradentes;235.630;56.1;52.2;10.7;49.1;3.1;4.2;0.8;4.523;0.04;0;17.9;4.1;3.4;1.7;1.1;204.1;0.27;1.27;1.44;14.2;0.1;3.3;58.3;18.2;13.1;75.9;10.5;154.4;42.6;31;34;53;202;45.86;66.9;50;24;97.8;9;0.01;5.02;0.08;5.09;0.04;0;0.13;0;0.42;0.17;0.2
19;Consolação;57.405;10.6;54.5;5.8;23;2;0;18.9;3.131;0.98;65.2;88.9;9.8;10.5;31.2;20.7;188.5;0;1.74;1.39;0;0;1.2;78.6;15.5;2.5;87;8.2;54.4;24.2;não aplicável;não aplicável;21;não aplicável;18.22;45.1;21.6;21;27.5;não aplicável;não aplicável;4.96;0;3.48;0;0.52;0;8.7;0;0.17;0.2
20;Cursino;113.728;24.6;53.3;7.9;34.2;2.9;6.4;3.6;3.307;0.25;10.1;22.5;8.2;5.3;4.1;4.3;209.3;0;0.88;0.88;14.3;0.3;1.2;74.7;18.4;6.1;0;1.7;98.5;9.2;29;49;35;75;22.44;48.4;23.5;41;68.5;18.2;0;5.12;0;0.88;0;0;0;1.8;0;0.09;0.1
21;Ermelino Matarazzo;118.715;43;51.8;9.6;42.5;3.1;8.7;3.7;7.157;0.05;12.9;60.7;5.6;1.7;3.3;2.6;225.7;0;0;1.52;25.2;1.7;0.8;65;20;9.6;0;11.1;136.2;31.7;34;36;51;82;25.93;96.1;78;51;73.8;7;0;5.08;0;0.84;0;0;0;0;0.84;0;0.4
22;Freguesia do Ó;140.083;29.9;52.9;8.7;37.2;3;4;1.7;2.898;0.17;0;70.8;10.2;5;4;3.1;278.5;0;2.14;1.71;41.2;0.2;3.6;69.6;18.2;7.3;160;13.1;118.6;25.8;31;39;51;15;34.83;80.8;34.4;61;73.2;9.7;0;5.25;0.14;2.86;0;0;0;0.7;0.71;0.07;0.9
24;Grajaú;390.096;56.8;51.5;11.1;47.8;3.2;13.8;0.6;2.573;0.05;3;2.3;4.7;3.8;0.6;1.5;245.7;0.33;1.03;0.9;19.8;0.7;1.5;60.4;15.8;11.8;67.6;9.5;145.5;31.5;24;35;49;não aplicável;42.57;100;88.7;100;94.7;9.7;0.01;5.08;0.03;1.79;0;0;0.08;0.8;0.26;0.08;0.3
