ID_REGIAO;DISTRITO;Populaçãototal;Populaçãopretaeparda;Populaçãofeminina;PopulaçãoInfantil;Populaçãojovem;Densidadedomiciliar;Favelas;Ofertadeempregoformal;Remuneraçãomédiamensaldoempregoformal;ProporçãodeImpostosobreserviçoISSarrecadado;Acessoatransportedemassa;Acessoainfraestruturacicloviária;Ocorrênciasdetrânsito;Mortesnotrânsito;AcessointernetMapeamentodasantenasáreakm;AcessointernetMapeamentodasantenasPopulaçãodistrito;Violênciacontraamulhertodas;Violênciacontraamulherfeminicídio;ViolênciaLGBTQIAP+;Violênciaracial;Homicídiosdejovens;Agressõesporintervençãopolicial;Mortesporintervençãopolicial;Idademédiaaomorrer;MortalidadeporCovid19;Gravideznaadolescência;Mortalidadematerna;Mortalidadeinfantil;Mortalidadepordoençasdoaparelhocirculatório;Mortalidadepordoençasdoaparelhorespiratório;TempomédioparaconsultasnaAtençãoBásica;TempomédioparaconsultasnaAtençãoEspecializada;Tempomédiopararealizaçãodeexamesespecializados;TempomédioemdiasparaConsultascomPsiquiatras;ICSAP–InternaçõesporCondiçõesSensíveisàAtençãoPrimária;CoberturaestimadaAtençãoBásica;CoberturaestimadaESF;Tempodeatendimentoparavagaemcreche;MatrículasnoEnsinoBásicoemescolaspúblicas;DistorçãoIdadeSérienoEnsinoFundamentaldaredemunicipal;AbandonoescolarnoEnsinoFundamentaldaredemunicipal;ÍndicedoNívelSocioeconômicodasEscolasINSE;Centrosculturais,casaseespaçosdecultura;Equipamentospúblicosdecultura;Cinemas;Museus;Teatros;Espaçosculturaisindependentes;Ocupaçõesculturais;EquipamentosculturaiscomWiFi;Equipamentospúblicosdeesporte
57;Perdizes;114.788;9.4;54.2;6.2;27.2;2.4;0;4.6;3.506;0.77;13.4;53.4;4.1;1.7;17.2;9.5;107.7;0;1.74;2.18;0;0;0.3;78.2;15.8;1.8;0;7.1;23;11.5;43;27;42;14;5.27;6.1;0;44;22.9;18.1;0;5.32;0;0;0;0.09;0;13.9;0;0;0.1
58;Perus;89.310;48.8;51.2;11.4;47.6;3.3;10.6;0.9;2.278;0.02;13.2;0;6.6;9;1;2.7;273.1;0;1.12;0.45;13.2;0.8;2.6;61.4;18.4;11.6;155.9;14.3;122.8;39.5;32;55;38;82;20.89;82.9;54.5;51;93.7;7.5;0.11;5.02;0;3.36;0;0;0.11;0;2.24;0.11;0.2
59;Pinheiros;65.909;11.1;54.8;6.3;25.5;2.3;0.1;21.8;5.220;5.71;57.7;76.1;14.7;4.6;24.2;30.5;231.1;0;4.55;7.89;11.2;0.5;1.5;79.5;16.5;0.3;0;5.2;38.5;24.1;15;28;47;não aplicável;8.05;22.2;18.9;129;30.1;13.9;0.48;5.55;0;1.52;0;0.3;0;12.1;0;0;0
60;Pirituba;171.232;31.3;52.4;8.8;38.6;3;6.8;3.5;4.363;0.17;21.2;12.6;7.5;4.7;3.8;3.8;261.3;0;1.75;1.4;30.3;0.4;2;68;16.1;7.8;49.3;9;126.6;21.1;29;39;46;41;22.37;71.2;51.9;62;72.4;13.6;0.12;5.18;0;0.58;0.12;0;0;0.6;0;0;0.4
61;Ponte Rasa;89.774;35.2;52.9;8.3;38.3;3.1;3.4;1.2;3.461;0.06;0;65.9;10.6;8.9;3.6;2.7;257.2;0;1.11;2.12;10.1;0;2.6;68.8;19;9.3;90.6;18.7;132.8;24.9;32;53;50;156;21.68;88.9;24.7;41;81.2;9.5;0.02;5.32;0;0;0;0;0;0;0;0;0.4
62;Raposo Tavares;107.426;46.5;52.5;10.6;43.5;3.1;11.2;1.8;2.810;0.08;0;32.9;6.6;4.7;2.2;2.5;251.8;1.5;7.45;1.77;32.7;0.3;8.1;64.8;20.2;9;0;12.2;90.5;24.4;9;28;37;37;28.01;100;86.7;76;92.6;8.6;0.01;5.05;0;1.86;0.09;0;0;2.8;0.93;0.09;0.3
63;República;61.832;30.2;49.8;8;28.6;2;0;23.2;4.908;2.52;88;98.7;23.3;9.7;42.98;16.7;429.7;0;22.64;9.38;0;2.2;1.6;67.9;17.3;7.5;57;7.1;101.3;25.3;não aplicável;27;23;não aplicável;30.65;41.3;31.5;3;56.1;não aplicável;não aplicável;4.81;0.49;14.56;0.16;0.16;0.65;24.3;4.85;0.32;0
64;Rio Pequeno;123.711;32.4;52.1;10.9;40.7;3;20.6;3.5;2.801;0.21;0;76.8;7.4;4.9;3.9;3;216;0.54;2.43;0.4;23.4;0;4.3;71.2;20.6;10.9;19.1;5.8;71.3;14.8;7;43;37;37;26.43;52.9;36.5;50;78;13.2;0.08;5.04;0;0;0;0;0;0;0;0;0.5
65;Sacomã;263.621;32;52.3;8.5;39;2.9;23.9;1.5;3.358;0.22;2.4;23.6;3.4;2.7;4.8;2.7;171.8;0;0.76;1.52;19.3;0.3;2.4;67.7;20.4;8.2;49.2;9;110;20.4;36;59;30;73;21.81;57.4;35.6;29;83.6;11.1;0.02;5.05;0;1.52;0.04;0;0.04;0;0;0.15;0.5
66;Santa Cecília;88.518;19.7;53.3;7.7;29.4;2.2;0;8.8;3.671;1.29;73.2;95.7;7.5;4.5;22.6;9.6;197.7;0.73;2.26;2.94;0;8.3;0.8;73.3;17.8;4.5;0;10.2;74.3;18.6;27;37;34;24;12.27;26;16.8;24;43.1;não aplicável;não aplicável;4.85;0;0;0;0.11;0;12.4;0;0;0.2
68;Santana;113.253;14.5;55.3;7.3;30.4;2.8;0.2;8.1;2.783;0.61;29.7;38.5;14;9.7;7.3;8.4;259;0.85;3.53;4.41;10.2;0;1.8;75.7;16.4;3.4;60.3;10.5;64.7;24.6;37;43;49;44;19.96;13.8;3.1;74;45.3;15.4;0.12;5.37;0;2.65;0;0;0.09;0.9;0;0.09;0.2
69;Santo Amaro;74.447;10.3;53.3;6.6;30.4;2.7;0.2;37.1;5.024;6.44;55.3;56.8;24.3;17.5;12.8;27.7;321;0;12.09;5.51;0;0.4;2.2;78.7;15.8;0.8;0;2.5;79.4;0;23;31;47;28;17.13;16.4;0;147;31.6;10.2;0.2;5.39;0.54;10.75;0;0;0.27;4;0;0.4;0.3
95;São Domingos;86.403;32;52.4;8.3;38.4;3;12.2;10.8;7.618;0.21;0;32.7;8.1;11.6;3.6;4.2;247.3;0;0;0.23;0;0.8;2.7;68.8;22.1;10.1;96.7;8.5;103.5;16.6;17;33;41;343;15.58;67.8;38.4;100;87.4;10.5;0.05;5.04;0;4.63;0;0;0.12;0;0;0.12;0.1
70;São Lucas;142.948;24.4;52.7;7.6;35.8;2.9;4.4;1.4;2.492;0.13;39;13.3;7.5;4.9;5.1;3.4;189.8;0;1.4;0.7;10.3;0.2;0.9;71.6;19.3;5.7;83.7;6;114.2;32.3;31;54;32;230;35.65;82.3;70.6;52;80.9;10.3;0.04;5.33;0;0.7;0;0;0;0.7;0;0;0.7
71;São Mateus;155.387;37.5;51.7;9.6;42.1;3.1;6.2;2.2;2.629;0.05;9.3;47.7;10.3;7.7;3.7;3;206.2;0.42;0.64;0.84;11;0.2;2.8;66.1;19.5;8.8;88.9;13.9;143.8;41.4;40;61;52;88;45.13;63;27.7;39;80.6;6.9;0.11;5.28;0.06;0.64;0.06;0;0;0;0;0.06;0.4
72;São Miguel;89.173;44.1;52.2;11.1;43.5;3.2;2.9;1.6;2.261;0.06;9.2;50.8;11;2.2;2.1;2;343.4;0.75;2.24;2.13;4.8;2.2;5.2;67.3;18;9.9;163.6;11.4;193.8;52.9;45;24;48;não aplicável;29.48;66.1;41.9;64;61.9;7;0.02;5.22;0.11;4.49;0;0;0;1.1;0;0.11;0.3
73;São Rafael;159.683;47.9;51;9.7;46.5;3.2;9.5;1.1;2.951;0.06;1.4;18.5;3.4;4.4;2.3;1.9;162.2;0;0.63;0.75;14.6;0.2;5.5;60.3;19.4;12.5;105.5;12;102.4;30.9;30;38;45;13;31.35;89.4;57.1;147;90.9;10.1;0.06;5.01;0.13;2.5;0;0;0.06;0;0;0.13;0.1
74;Sapopemba;289.759;41.7;51.9;9.6;42.6;3.1;19.2;1.1;4.549;0.06;34.7;44.9;6.4;4.5;3.2;1.5;204.2;0;1.38;1.04;14.5;0.3;3.1;65.6;22.7;11.3;70.4;13.9;143.3;31.8;37;39;32;186;39.24;100;84.6;90;91;8.4;0;5.06;0;1.38;0;0;0.03;0.3;0;0.07;0.2
75;Saúde;134.147;10.9;54.3;6.6;27.7;2.5;0.9;42.2;4.900;0.99;58.4;69.1;7.5;4.5;11.4;7.9;159.2;0.74;1.49;2.09;5;0.5;2;77.7;17.5;2.8;0;4.5;41.1;7.2;34;54;41;21;11.29;15.6;7.7;76;30.8;11.6;0;5.36;0;0;0;0;0;0.7;0;0;0
76;Sé;26.693;38.3;50.8;11.8;39.5;2.5;0;112;5.965;2.11;86.4;55.5;38.2;22.5;45.1;37.1;750.5;0;11.24;13.11;37.3;13.9;13.9;64.3;20.9;7.7;89;20.1;76.5;25.5;21;22;30;39;41.73;62.1;53;58;67.1;17;0.14;4.44;0;11.24;0;1.5;0;11.2;0;1.5;0
77;Socorro;36.033;21.5;53.4;7.7;33;2.9;6.2;12;3.720;0.22;17.7;76.1;24.7;13.9;1.8;5.8;324.3;2.78;0;0.56;15;0;0.9;74;15.6;7.3;96.9;5.8;58.2;9.7;31;34;33;7;24.69;25.2;0.9;68;65.5;13.2;0;5.3;0;2.78;0.28;0;0;0;0;0;1.1
79;Tatuapé;96.045;11.1;53.9;6.8;31.3;2.7;1;10.9;2.419;0.79;24.2;28.6;13.1;8.3;8.3;7.4;227.1;0;0;3.54;5.8;0;3.5;75.5;17.4;2.5;0;11.2;34.4;6.9;51;29;31;52;13.45;21.9;7.5;70;46.5;12.1;0;5.49;0;6.25;0;0.1;0;3.1;0;0.31;0.1
80;Tremembé;223.553;39.7;51.8;10.2;43.9;3.2;10.9;0.8;3.103;0.11;0;0;7.3;4;0.6;1.6;209.1;0;3.13;1.12;26.4;1.4;2.9;66;17.7;11;73.1;9;110.8;22.2;28;38;49;122;29.75;55.4;29.6;135;87.8;9.3;0;5.06;0.04;1.34;0.04;0;0.04;0;0;0.09;0.1
81;Tucuruvi;96.358;19.3;53.9;7.1;31.8;2.9;0.7;2;2.177;0.19;32.7;7.3;8.5;4.2;5.9;5.8;199.6;0;3.11;2.8;0;0;2.4;74.9;15.7;4.8;35.3;2.3;88.9;25.9;37;35;54;193;20.49;40.9;3.6;76;57.5;7.2;0;5.29;0;2.08;0;0;0;0;0;0;0.2
82;Vila Andrade;163.508;41.4;51.1;9.1;44.1;2.8;33.6;2.3;3.127;0.48;8.8;59.2;6.2;6.7;9;5.7;115.3;0;0;1.1;25.5;0;4.8;65.9;17.7;8.4;27.2;9.8;57.3;11;26;31;42;44;15.22;57.5;55;33;70.5;12.8;0.15;4.72;0;0.61;0;0;0;0;0;0.06;0.1
83;Vila Curuçá;153.500;51.2;51.7;9.8;45.3;3.1;6.5;0.7;2.951;0.04;5.5;11.5;3.8;1.3;3.1;1.9;263;1.26;0.65;0.78;17.8;0.2;2.8;65.1;20.1;9.9;30.4;10.9;142.1;48.2;39;37;55;114;27.33;100;100;56;90.3;8.1;0.01;5.13;0;1.95;0;0;0.07;0;0;0.07;0.5
84;Vila Formosa;94.100;20.4;53;7.4;34.7;3;0.9;4.3;2.184;0.15;0;53.6;9.1;4.3;6.8;5.4;49.4;0;0;0.64;5.3;0.4;0.7;72;19.2;6.4;36.1;12.6;111.5;19.2;30;45;39;109;24.39;51.9;33.9;52;65;12.9;0.09;5.31;0.11;4.25;0;0;0.11;0;0;0.11;0.4
85;Vila Guilherme;57.079;22;53.1;9.2;36.1;3;2.1;11.7;3.913;0.44;0.5;61.4;15.1;7;8.1;10.2;419.2;0;7.01;0.7;18.9;1.2;1.8;72.2;17.4;7.4;129.8;13.3;81.5;6.3;34;37;38;77;26.1;59.1;0.1;75;78.7;12.4;0.06;5.33;0.18;3.5;0;0;0;0;0;0.18;0.4
86;Vila Jacuí;145.836;49;51.8;8.7;43.6;3.1;4.8;1.1;3.266;0.16;0;61.4;9.1;13.7;3;1.7;230.1;0.87;1.37;0.62;18.9;0.5;1.8;64.4;21.2;11.6;49.8;10.7;165;18.3;35;28;39;17;24.01;97;81.8;62;89.8;7.2;0.08;5.13;0;1.37;0;0;0.07;0.7;0;0.07;0.2
87;Vila Leopoldina;45.092;14.4;50.3;7.2;33.4;2.7;4.5;15.8;3.496;0.82;24.2;60.1;16;17.7;5.9;9.1;164.7;0;6.65;3.1;12.4;0.7;3;74.6;12.7;3.1;65;14.2;86.4;6.6;26;18;41;14;12.52;38.6;37.9;97;60.9;16.1;0;5.96;0;0;0;0;0;6.7;0;0;0
88;Vila Maria;114.025;34;52.1;10.1;41.3;3;13.1;7.9;3.028;0.29;0;62.6;14.6;13.2;5.7;6;192.8;0;0.88;0.96;27.6;1.5;5.3;68.5;17.2;10.1;138.9;13.1;112.2;34;30;34;45;51;50.47;57;27.2;118;78.4;11.2;0.02;4.99;0;0.88;0;0;0;0.9;0;0;0.3
90;Vila Mariana;132.226;8.7;54.4;6.5;25.9;2.4;0.8;9.5;4.324;1.71;65;73.9;7;2.3;19.4;12.6;171.1;0;1.51;3.86;10.5;0;1;79;17.2;1.4;28.7;6.7;37.8;7.6;20;26;6;não aplicável;10.78;6.2;0;98;21.9;7;0;5.25;0;3.03;0.15;0.15;0.08;3;0;0.08;0.2
91;Vila Matilde;105.575;25.4;52.9;7.8;36.3;3;0.6;4.5;2.343;0.16;27.6;55.2;10.3;2.8;4.2;3.5;262.1;0;4.74;1.7;0;0;1.3;72.1;17.2;6.7;0;7.7;95.1;30.6;51;36;38;39;24.56;45.1;28;52;59.5;7;0.05;5.34;0;0;0;0;0;0.9;0.95;0;0.3
92;Vila Medeiros;123.456;34;53;9.2;38.9;3.1;3;1.6;2.798;0.08;0;22.9;8.2;2.4;3.6;2.3;329.2;1.08;0.81;0.89;22.6;0.3;1.3;69.8;19.7;10.2;112.9;11.5;150.6;12.5;29;37;53;15;48;58.7;13.9;70;82.3;13.6;0.06;5.11;0;0;0;0;0;0;0;0;0.2
93;Vila Prudente;104.686;19;52.9;7.5;33.9;2.8;5.3;3.3;2.719;0.22;22.7;43.8;11;7.6;4.5;4.1;199;0;1.91;0.29;14.9;0.3;6.7;72.5;21;4.8;55.4;8.7;101.2;16.9;43;49;37;270;29.43;53.2;17.5;24;58.4;9.1;0.16;5.21;0;0.96;0;0;0;1;0;0;0.5
94;Vila Sônia;121.663;27.9;52.4;9.2;38.5;3;23;3.3;2.829;0.33;2.2;30.7;7.2;4.1;6.2;5.1;186.1;0;0.82;0.66;28.2;0.3;3.3;71.8;17.9;5.6;71.3;3.7;74;8.9;17;29;40;199;16.69;54.8;25.3;43;65.1;7.6;0.4;5.07;0;0;0;0;0;0.8;0;0;0.4
